tariff_name;Life_Table_csv_name;Disability_Table_csv_name
HPKR/2007;DAV2004R_1O.csv;
AL/2008;DAV2004R_1O.csv;
ARR/2008;DAV2004R_1O.csv;
ARR-ST/2008;DAV2004R_1O.csv;
ARRL/2008;DAV2004R_1O.csv;
ARZ/2008;DAV2004R_1O.csv;
ARZ-ST/2008;DAV2004R_1O.csv;
LR/2008;DAV2004R_1O.csv;
LZ/2008;DAV2004R_1O.csv;
HARR-ST/2008;DAV2004R_1O.csv;
HARR/2008;DAV2004R_1O.csv;
SARR/2008;DAV2004R_1O.csv;
SARR-K50/2008;DAV2004R_1O.csv;
SARR-ST/2008;DAV2004R_1O.csv;
TARR/2008;DAV2004R_1O.csv;
TARR-ST/2008;DAV2004R_1O.csv;
HA/2008;DAV2004R_1O.csv;
SARRL/2008;DAV2004R_1O.csv;
SPKR-K100/2008;DAV2004R_1O.csv;
HARZ/2008;DAV2004R_1O.csv;
SARZ/2008;DAV2004R_1O.csv;
SARZ-ST/2008;DAV2004R_1O.csv;
TARZ/2008;DAV2004R_1O.csv;
TARZ-ST/2008;DAV2004R_1O.csv;
SLR/2008;DAV2004R_1O.csv;
SLRW1/2008;DAV2004R_1O.csv;
HLZ/2008;DAV2004R_1O.csv;
ARR/90;DAV2004R_1O.csv;
ARG/90;DAV2004R_1O.csv;
LR/90;DAV2004R_1O.csv;
ARR/ERL/90;DAV2004R_1O.csv;
AR/90;DAV2004R_1O.csv;
L/90;DAV2004R_1O.csv;
A/90;DAV2004R_1O.csv;
ARR/ERL/RFZ/90;DAV2004R_1O.csv;
ARR/VAR/90;DAV2004R_1O.csv;
LG/90;DAV2004R_1O.csv;
FP3G/90;DAV2004R_1O.csv;
P3G/90;DAV2004R_1O.csv;
P1Z/90;DAV2004R_1O.csv;
P1G/90;DAV2004R_1O.csv;
P3G/90NEU;DAV2004R_1O.csv;
P1Z/90NEU;DAV2004R_1O.csv;
P2G/90;DAV2004R_1O.csv;
P2G/90NEU;DAV2004R_1O.csv;
P3Z/90;DAV2004R_1O.csv;
P1G/90NEU;DAV2004R_1O.csv;
P2/90;DAV2004R_1O.csv;
P3Z/90NEU;DAV2004R_1O.csv;
P3G_RAB/90;DAV2004R_1O.csv;
P2/90NEU;DAV2004R_1O.csv;
A/84;DAV2004R_1O.csv;
AR/84;DAV2004R_1O.csv;
ARR/84;DAV2004R_1O.csv;
ARZ/84;DAV2004R_1O.csv;
L/84;DAV2004R_1O.csv;
LR/84;DAV2004R_1O.csv;
LZ/84;DAV2004R_1O.csv;
PKR1/2003;DAV2004R_1O.csv;
PKR2/2003;DAV2004R_1O.csv;
AR/99;DAV2004R_1O.csv;
ARR/99;DAV2004R_1O.csv;
ARZ/99;DAV2004R_1O.csv;
HA/99;DAV2004R_1O.csv;
HL/99;DAV2004R_1O.csv;
HLR/99;DAV2004R_1O.csv;
HLZ/99;DAV2004R_1O.csv;
L/99;DAV2004R_1O.csv;
LR/99;DAV2004R_1O.csv;
LV/99;DAV2004R_1O.csv;
LZ/99;DAV2004R_1O.csv;
SAR/99;DAV2004R_1O.csv;
SARR/99;DAV2004R_1O.csv;
SARZ/99;DAV2004R_1O.csv;
SLR/99;DAV2004R_1O.csv;
SLV/99;DAV2004R_1O.csv;
SLZ/99;DAV2004R_1O.csv;
P12G/97;DAV2004R_1O.csv;
P30G/97;DAV2004R_1O.csv;
P31G/97;DAV2004R_1O.csv;
P32G/97;DAV2004R_1O.csv;
P3A2G/97;DAV2004R_1O.csv;
P3E0G/97;DAV2004R_1O.csv;
P3E1G/97;DAV2004R_1O.csv;
P3E2G/97;DAV2004R_1O.csv;
P30Z/97;DAV2004R_1O.csv;
P31Z/97;DAV2004R_1O.csv;
P32Z/97;DAV2004R_1O.csv;
P3E0Z/97;DAV2004R_1O.csv;
P3E2Z/97;DAV2004R_1O.csv;
LR/95;DAV2004R_1O.csv;
L/94;DAV2004R_1O.csv;
LR/94;DAV2004R_1O.csv;
LG/94;DAV2004R_1O.csv;
APRR/94;DAV2004R_1O.csv;
SAPRR/94;DAV2004R_1O.csv;
HAPRR/94;DAV2004R_1O.csv;
ARR/94;DAV2004R_1O.csv;
ARR/ERL/RFZ/94;DAV2004R_1O.csv;
ARR/ERL/94;DAV2004R_1O.csv;
ARR/VAR/94;DAV2004R_1O.csv;
A/94;DAV2004R_1O.csv;
ARG/94;DAV2004R_1O.csv;
AR/94;DAV2004R_1O.csv;
